name,video,start,end,speaker,orth,translation
10January_2011_Monday_heute-1365,10January_2011_Monday_heute-1365/1/*.png,-1,-1,Signer01,GUT-ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
10January_2011_Monday_heute-1377,10January_2011_Monday_heute-1377/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ich wünsche noch einen schönen abend und machen sie es gut
23December_2010_Thursday_tagesschau-1434,23December_2010_Thursday_tagesschau-1434/1/*.png,-1,-1,Signer07,VORSICHT GLATT,vorsicht wegen glätte
10August_2010_Tuesday_heute-1441,10August_2010_Tuesday_heute-1441/1/*.png,-1,-1,Signer05,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
10August_2010_Tuesday_heute-1459,10August_2010_Tuesday_heute-1459/1/*.png,-1,-1,Signer05,SCHOEN ABEND MACHEN GUT WUENSCHEN,ich wünsche ihnen einen schönen abend und machen sie es gut
25January_2010_Monday_heute-1460,25January_2010_Monday_heute-1460/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,liebe zuschauer guten abend
25January_2010_Monday_heute-1474,25January_2010_Monday_heute-1474/1/*.png,-1,-1,Signer03,SCHOEN ABEND WUENSCHEN,ich wünsche ihnen einen schönen abend
17February_2010_Wednesday_heute-1475,17February_2010_Wednesday_heute-1475/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
08February_2010_Monday_heute-1510,08February_2010_Monday_heute-1510/1/*.png,-1,-1,Signer04,WUENSCHEN SCHOEN ABEND GUT,ich wünsche ihnen noch einen schönen abend und machen sie es gut
06December_2011_Tuesday_heute-1537,06December_2011_Tuesday_heute-1537/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
28November_2011_Monday_heute-1579,28November_2011_Monday_heute-1579/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
28November_2011_Monday_heute-1593,28November_2011_Monday_heute-1593/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT,ihnen einen schönen abend und machen sie es gut
14June_2010_Monday_heute-1594,14June_2010_Monday_heute-1594/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,liebe zuschauer guten abend
14June_2010_Monday_heute-1607,14June_2010_Monday_heute-1607/1/*.png,-1,-1,Signer03,SCHOEN ABEND WUENSCHEN,und jetzt wünsche ich ihnen noch einen spannenden abend
03July_2011_Sunday_tagesschau-1669,03July_2011_Sunday_tagesschau-1669/1/*.png,-1,-1,Signer04,WIND SCHWACH WEHEN,der wind weht schwach bis mäßig und kommt aus nord bis nordwest
01November_2010_Monday_heute-1704,01November_2010_Monday_heute-1704/1/*.png,-1,-1,Signer05,GUT ABEND LIEB DU ZUSCHAUER,guten abend liebe zuschauer
01November_2010_Monday_heute-1723,01November_2010_Monday_heute-1723/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
21October_2010_Thursday_tagesschau-1820,21October_2010_Thursday_tagesschau-1820/1/*.png,-1,-1,Signer05,MONTAG WECHSELHAFT MEHR KUEHL,die neue woche beginnt wechselhaft und wieder kühler
03July_2009_Friday_tagesschau-2012,03July_2009_Friday_tagesschau-2012/1/*.png,-1,-1,Signer04,SCHWACH WEHEN,sonst schwacher bis mäßiger wind aus west bis nordwest
25October_2010_Monday_heute-2040,25October_2010_Monday_heute-2040/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
25October_2010_Monday_heute-2052,25October_2010_Monday_heute-2052/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ich wünsche ihnen einen schönen abend und machen sie es gut
18November_2011_Friday_tagesschau-2145,18November_2011_Friday_tagesschau-2145/1/*.png,-1,-1,Signer04,IX KLAR,vor allem richtung süden und westen ist es auch klar
14October_2010_Thursday_heute-2185,14October_2010_Thursday_heute-2185/1/*.png,-1,-1,Signer07,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
07June_2010_Monday_heute-2319,07June_2010_Monday_heute-2319/1/*.png,-1,-1,Signer04,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
23November_2011_Wednesday_heute-2392,23November_2011_Wednesday_heute-2392/1/*.png,-1,-1,Signer05,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
23November_2011_Wednesday_heute-2406,23November_2011_Wednesday_heute-2406/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
27June_2011_Monday_heute-2460,27June_2011_Monday_heute-2460/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
27June_2011_Monday_heute-2471,27June_2011_Monday_heute-2471/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend und machen sie es gut
15September_2010_Wednesday_heute-2472,15September_2010_Wednesday_heute-2472/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
15September_2010_Wednesday_heute-2486,15September_2010_Wednesday_heute-2486/1/*.png,-1,-1,Signer05,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
12January_2010_Tuesday_heute-2539,12January_2010_Tuesday_heute-2539/1/*.png,-1,-1,Signer03,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
03June_2010_Thursday_tagesschau-2634,03June_2010_Thursday_tagesschau-2634/1/*.png,-1,-1,Signer05,WIND SCHWACH MAESSIG WEHEN,der wind weht meist schwach gelegentlich auch mal mäßig
09August_2011_Tuesday_heute-2640,09August_2011_Tuesday_heute-2640/1/*.png,-1,-1,Signer05,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
09August_2011_Tuesday_heute-2649,09August_2011_Tuesday_heute-2649/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH,soviel zum wetter ihnen noch einen schönen abend
19January_2011_Wednesday_heute-2677,19January_2011_Wednesday_heute-2677/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
02November_2010_Tuesday_heute-2756,02November_2010_Tuesday_heute-2756/1/*.png,-1,-1,Signer05,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
22July_2009_Wednesday_tagesschau-2881,22July_2009_Wednesday_tagesschau-2881/1/*.png,-1,-1,Signer04,SONNTAG VIEL SONNE,am sonntag dann viel sonnenschein
28January_2010_Thursday_heute-2898,28January_2010_Thursday_heute-2898/1/*.png,-1,-1,Signer05,SCHOEN ABEND WUENSCHEN MACHEN GUT,ihnen einen schönen abend und machen sie es gut
20September_2010_Monday_heute-2925,20September_2010_Monday_heute-2925/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
20September_2010_Monday_heute-2943,20September_2010_Monday_heute-2943/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT TSCHUESS,ich wünsche noch einen schönen abend und machen sie es gut
01December_2011_Thursday_heute-3054,01December_2011_Thursday_heute-3054/1/*.png,-1,-1,Signer05,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
01December_2011_Thursday_heute-3067,01December_2011_Thursday_heute-3067/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
05September_2010_Sunday_tagesschau-3137,05September_2010_Sunday_tagesschau-3137/1/*.png,-1,-1,Signer04,NORD WIND,im norden ist es windig
20February_2011_Sunday_tagesschau-3168,20February_2011_Sunday_tagesschau-3168/1/*.png,-1,-1,Signer04,WIND SCHWACH WEHEN,es weht ein schwacher bis mäßiger wind aus östlichen richtungen
31August_2010_Tuesday_heute-3171,31August_2010_Tuesday_heute-3171/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend
31August_2010_Tuesday_heute-3182,31August_2010_Tuesday_heute-3182/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,und jetzt wünsche ich ihnen noch einen schönen abend
11August_2011_Thursday_heute-3183,11August_2011_Thursday_heute-3183/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
26August_2009_Wednesday_tagesschau-3220,26August_2009_Wednesday_tagesschau-3220/1/*.png,-1,-1,Signer01,SONST REGION SONNE,sonst überwiegend freundlich
25August_2009_Tuesday_heute-3300,25August_2009_Tuesday_heute-3300/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
18May_2010_Tuesday_heute-3361,18May_2010_Tuesday_heute-3361/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
26April_2010_Monday_heute-3389,26April_2010_Monday_heute-3389/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
26April_2010_Monday_heute-3410,26April_2010_Monday_heute-3410/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT WUENSCHEN,ich wünsche ihnen einen schönen abend und machen sie es gut
17September_2010_Friday_tagesschau-3417,17September_2010_Friday_tagesschau-3417/1/*.png,-1,-1,Signer07,SUED MEHR SONNE,in der südhälfte scheint teilweise für längere zeit die sonne
02September_2010_Thursday_heute-3450,02September_2010_Thursday_heute-3450/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
02October_2012_Tuesday_heute-3491,02October_2012_Tuesday_heute-3491/1/*.png,-1,-1,Signer05,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
02October_2012_Tuesday_heute-3503,02October_2012_Tuesday_heute-3503/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH,schönen abend noch für sie
11November_2010_Thursday_tagesschau-3563,11November_2010_Thursday_tagesschau-3563/1/*.png,-1,-1,Signer01,SCHON WARNUNG DEUTSCH WETTER DIENST,es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes
20October_2009_Tuesday_tagesschau-3591,20October_2009_Tuesday_tagesschau-3591/1/*.png,-1,-1,Signer09,MAL NEBEL,hier und da bildet sich nebel
23April_2010_Friday_tagesschau-3666,23April_2010_Friday_tagesschau-3666/1/*.png,-1,-1,Signer04,SCHWACH WEHEN,schwacher bis mäßiger wind aus nördlichen bis östlichen richtungen
30May_2011_Monday_heute-3672,30May_2011_Monday_heute-3672/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
30May_2011_Monday_heute-3683,30May_2011_Monday_heute-3683/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,einen schönen abend wünsche ich ihnen noch
19November_2011_Saturday_tagesschau-3691,19November_2011_Saturday_tagesschau-3691/1/*.png,-1,-1,Signer04,WIND SCHWACH BERG MAESSIG,der wind weht morgen nur schwach im bergland auch mal mäßig
14June_2010_Monday_tagesschau-3702,14June_2010_Monday_tagesschau-3702/1/*.png,-1,-1,Signer03,WIND SCHWACH MAESSIG,der wind weht schwach bis mäßig
24January_2011_Monday_tagesschau-3717,24January_2011_Monday_tagesschau-3717/1/*.png,-1,-1,Signer01,VORSICHT GLATT,vorsicht glätte
05May_2011_Thursday_heute-3739,05May_2011_Thursday_heute-3739/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
23February_2011_Wednesday_heute-3765,23February_2011_Wednesday_heute-3765/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
13January_2010_Wednesday_tagesschau-3825,13January_2010_Wednesday_tagesschau-3825/1/*.png,-1,-1,Signer04,VORSICHT GLATT,vorsicht wegen glätte
14February_2010_Sunday_tagesschau-3841,14February_2010_Sunday_tagesschau-3841/1/*.png,-1,-1,Signer09,VORSICHT GLATT,vorsicht wegen glätte
12September_2010_Sunday_tagesschau-3916,12September_2010_Sunday_tagesschau-3916/1/*.png,-1,-1,Signer01,WIND WEHEN,morgen weht ein schwacher bis mäßiger wind aus westlichen richtungen
12September_2010_Sunday_tagesschau-3921,12September_2010_Sunday_tagesschau-3921/1/*.png,-1,-1,Signer01,ABER BLEIBEN TROCKEN,dabei bleibt es recht mild
04May_2011_Wednesday_heute-3987,04May_2011_Wednesday_heute-3987/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
08April_2010_Thursday_heute-4013,08April_2010_Thursday_heute-4013/1/*.png,-1,-1,Signer05,SCHOEN ABEND TSCHUESS,jetzt wünsche ich ihnen noch einen schönen abend
07October_2010_Thursday_tagesschau-4124,07October_2010_Thursday_tagesschau-4124/1/*.png,-1,-1,Signer05,SONST REGION FREUNDLICH,ansonsten erwartet uns ein recht freundlicher herbsttag
08December_2009_Tuesday_heute-4222,08December_2009_Tuesday_heute-4222/1/*.png,-1,-1,Signer02,SCHOEN ABEND TSCHUESS,ich wünsche ihnen einen schönen abend und machen sie es gut
29September_2011_Thursday_heute-4223,29September_2011_Thursday_heute-4223/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
13July_2010_Tuesday_tagesschau-4312,13July_2010_Tuesday_tagesschau-4312/1/*.png,-1,-1,Signer01,WIND SCHWACH MAESSIG KOMMEN,schwacher bis mäßiger an der see auch frischer wind aus süd bis südost
01April_2010_Thursday_tagesschau-4327,01April_2010_Thursday_tagesschau-4327/1/*.png,-1,-1,Signer04,VORSICHT GLATT,vorsicht wegen glätte
01July_2009_Wednesday_tagesschau-4558,01July_2009_Wednesday_tagesschau-4558/1/*.png,-1,-1,Signer09,SCHWACH WEHEN,sonst meist schwacher wind aus nord bis nordost
01February_2011_Tuesday_heute-4629,01February_2011_Tuesday_heute-4629/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
22November_2011_Tuesday_heute-4644,22November_2011_Tuesday_heute-4644/1/*.png,-1,-1,Signer07,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
07February_2011_Monday_heute-4670,07February_2011_Monday_heute-4670/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
12December_2009_Saturday_tagesschau-4731,12December_2009_Saturday_tagesschau-4731/1/*.png,-1,-1,Signer04,WIND SCHWACH MAESSIG WEHEN,der wind weht schwach bis mäßig aus nordost
09December_2009_Wednesday_heute-4738,09December_2009_Wednesday_heute-4738/1/*.png,-1,-1,Signer02,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
09December_2009_Wednesday_heute-4757,09December_2009_Wednesday_heute-4757/1/*.png,-1,-1,Signer02,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend und machen sie es gut
13July_2010_Tuesday_heute-4821,13July_2010_Tuesday_heute-4821/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen einen schönen abend und machen sie es gut
01August_2011_Monday_heute-4848,01August_2011_Monday_heute-4848/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
01August_2011_Monday_heute-4857,01August_2011_Monday_heute-4857/1/*.png,-1,-1,Signer07,BISSCHEN NEBEL,wir haben ein paar nebelfelder
05April_2011_Tuesday_heute-5117,05April_2011_Tuesday_heute-5117/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
28April_2010_Wednesday_heute-5181,28April_2010_Wednesday_heute-5181/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,guten abend liebe zuschauer
28April_2010_Wednesday_heute-5198,28April_2010_Wednesday_heute-5198/1/*.png,-1,-1,Signer03,SCHOEN ABEND WUENSCHEN,ihnen noch einen schönen abend und machen sie es gut
23August_2010_Monday_heute-5315,23August_2010_Monday_heute-5315/1/*.png,-1,-1,Signer08,ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
19April_2011_Tuesday_heute-5332,19April_2011_Tuesday_heute-5332/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
19April_2011_Tuesday_heute-5344,19April_2011_Tuesday_heute-5344/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ich wünsche noch einen schönen abend
18January_2011_Tuesday_heute-5463,18January_2011_Tuesday_heute-5463/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
18January_2011_Tuesday_heute-5478,18January_2011_Tuesday_heute-5478/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT,ihnen schönen abend und machen sie es gut
06October_2011_Thursday_heute-5548,06October_2011_Thursday_heute-5548/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend
17May_2010_Monday_heute-5562,17May_2010_Monday_heute-5562/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
26October_2010_Tuesday_tagesschau-5795,26October_2010_Tuesday_tagesschau-5795/1/*.png,-1,-1,Signer01,REGEN KOENNEN,dort regnet oder schauert es hier und da
12December_2011_Monday_heute-5799,12December_2011_Monday_heute-5799/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
14July_2011_Thursday_heute-5868,14July_2011_Thursday_heute-5868/1/*.png,-1,-1,Signer08,SCHOEN ABEND TSCHUESS,schönen abend noch für sie und tschüss
11May_2010_Tuesday_heute-5985,11May_2010_Tuesday_heute-5985/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
11May_2010_Tuesday_heute-5996,11May_2010_Tuesday_heute-5996/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen einen schönen abend und machen sie es gut
25August_2010_Wednesday_heute-5997,25August_2010_Wednesday_heute-5997/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,liebe zuschauer guten abend
24May_2011_Tuesday_heute-6073,24May_2011_Tuesday_heute-6073/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH,das war es für heute schönen abend noch
